stream,discipline,course_name
Engineering & Technology,BASIC SCIENCE,INTRODUCTION TO ELECTROMAGNETIC THEORY
Engineering & Technology,BASIC SCIENCE,QUANTUM MECHANICS I
Engineering & Technology,BASIC SCIENCE,INTRODUCTORY QUANTUM MECHANICS
Engineering & Technology,BASIC SCIENCE,WAVES AND OSCILLATIONS
Engineering & Technology,BASIC SCIENCE,ENGINEERING MATHEMATICS - I
Engineering & Technology,ELECTRICAL ENGINEERING,FUNDAMENTALS OF ELECTRICAL ENGINEERING
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,ANALOG ELECTRONIC CIRCUITS
Engineering & Technology,ELECTRICAL ENGINEERING,BASIC ELECTRICAL CIRCUITS
Engineering & Technology,CIVIL ENGINEERING,ENGINEERING GRAPHICS
Engineering & Technology,BASIC SCIENCE,CHEMISTRY - I
Engineering & Technology,BASIC SCIENCE,DIFFERENTIAL EQUATIONS FOR ENGINEERS
Engineering & Technology,BASIC SCIENCE,ENGINEERING MATHEMATICS II
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,INTRODUCTION TO PROGRAMMING IN C
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,PROBLEM SOLVING THROUGH PROGRAMMING IN C
Engineering & Technology,HUMANITIES,TECHNICAL ENGLISH FOR ENGINEERS
Engineering & Technology,HUMANITIES,ENGLISH LANGUAGE FOR COMPETITIVE EXAMS
Engineering & Technology,HUMANITIES,INTRODUCTION TO PROFESSIONAL SCIENTIFIC COMMUNICATION
Engineering & Technology,BIOTECHNOLOGY,BIOCHEMISTRY
Engineering & Technology,BIOTECHNOLOGY,APPLIED ENVIRONMENTAL MICROBIOLOGY
Engineering & Technology,BIOTECHNOLOGY,BIOPHYSICAL CHEMISTRY
Engineering & Technology,BIOTECHNOLOGY,PLANT DEVELOPMENTAL BIOLOGY
Engineering & Technology,BIOTECHNOLOGY,BIOREACTORS
Engineering & Technology,BIOTECHNOLOGY,GENETIC ENGINEERING: THEORY AND APPLICATION
Engineering & Technology,BIOTECHNOLOGY,INTRODUCTION TO PROTEOMICS
Engineering & Technology,BIOTECHNOLOGY,BIOINFORMATICS: ALGORITHMS AND APPLICATIONS
Engineering & Technology,BIOTECHNOLOGY,ANALYTICAL TECHNOLOGIES IN BIOCHEMISTRY
Engineering & Technology,BIOTECHNOLOGY,PRINCIPLES OF DOWNSTREAM TECHNIQUES IN BIOPROCESS
Engineering & Technology,BIOTECHNOLOGY,EUKARYOTIC GENE EXPRESSION: BASICS AND BENEFITS
Engineering & Technology,BIOTECHNOLOGY,COMPUTER AIDED DRUG DESIGN
Engineering & Technology,BIOTECHNOLOGY,TISSUE ENGINEERING
Engineering & Technology,BIOTECHNOLOGY,BIOMEDICAL NANOTECHNOLOGY
Engineering & Technology,ELECTRONICS AND COMMUNICATION ENGINEERING,BASIC ELECTRONICS
Engineering & Technology,CHEMICAL ENGINEERING,BASIC PRINCIPLES AND CALCULATIONS IN CHEMICAL ENGINEERING
Engineering & Technology,CHEMICAL ENGINEERING,TRANSPORT PHENOMENA (VIDEO)
Engineering & Technology,CHEMICAL ENGINEERING,CHEMICAL ENGINEERING THERMODYNAMICS
Engineering & Technology,ELECTRICAL ENGINEERING,BASIC ELECTRIC CIRCUITS
Engineering & Technology,CHEMICAL ENGINEERING,MASS TRANSFER OPERATIONS- II
Engineering & Technology,CHEMICAL ENGINEERING,FLUID AND PARTICLE MECHANICS
Engineering & Technology,CHEMICAL ENGINEERING,CHEMICAL REACTION ENGINEERING-I
Engineering & Technology,CHEMICAL ENGINEERING,MECHANICAL UNIT OPERATIONS
Engineering & Technology,CHEMICAL ENGINEERING,CHEMICAL REACTION ENGINEERING – II
Engineering & Technology,CHEMICAL ENGINEERING,CHEMICAL REACTION ENGINEERING II
Engineering & Technology,HUMANITIES,PROCESS DESIGN DECISIONS AND PROJECT ECONOMICS
Engineering & Technology,BASIC SCIENCE,Chemistry - II
Engineering & Technology,CIVIL ENGINEERING,MECHANICS OF SOLIDS
Engineering & Technology,CIVIL ENGINEERING,FLUID MECHANICS
Engineering & Technology,CIVIL ENGINEERING,STRUCTURAL ANALYSIS-I
Engineering & Technology,CIVIL ENGINEERING,SOIL MECHANICS/GEOTECHNICAL ENGINEERING I
Engineering & Technology,HUMANITIES,ENGINEERING ECONOMETRICS
Engineering & Technology,COMPUTER SCIENCE AND ENGINEERING,Programming in Java
